Student_id,Student_Name,Student_Email,College_id,Date_joined,Major_taken,College_Level
1,Levis Opiyo,levis.opiyo@yahoo.com,567,12/19/00,Computer Science,Senior
2,Kelvin Musotsi,kmusotsi@gmail.com,678,9/23/98,Psychology,Freshman
3,Harun Shakava,harunshakava@hotmail.com,809,8/22/19,International Business,Graduated
4,Maurice Ojwang,ojwangm@outlook.com,198,10/19/12,Accounting,Sophomore
5,Charles Momanyi,charlesmomanyi@yahoo.com,421,11/9/09,Information Systems,Sophomore
6,Wesley Onguso,wesleyonguso@gmail.com,678,7/9/16,Communications,Freshman
7,Andrew Juma,andrewjuma@aol.com,198,4/15/20,Architecture,Senior
8,John Macharia,johnamcharia@hotmail.com,421,1/30/17,Mathematics,Graduated
9,Abdoul Zoko,abdoul.zoko@hotmail.com,678,8/29/16,Business,Graduated
10,Kenneth Muguna,kennethmuguna@gmail.com,809,9/25/11,Arts,Senior
